🕘️更新时间,#genre#
2025-05-26 18:34:20,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8

📺央视频道,#genre#
CCTV-1,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://139.196.151.191/rtp/239.45.3.145:5140
CCTV-1,http://139.196.214.238/rtp/239.45.3.145:5140
CCTV-1,http://139.129.231.228/rtp/239.21.1.120:5002
CCTV-1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://api2.52tb.xyz/info?id=2&token=20230326xflvzc
CCTV-1,rtsp://60.13.27.115/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1,rtsp://115.85.205.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-2,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-2,http://139.196.151.191/rtp/239.45.1.109:5140
CCTV-2,http://139.196.214.238/rtp/239.45.1.109:5140
CCTV-2,http://139.129.231.228/rtp/239.21.1.151:5002
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://api2.52tb.xyz/info?id=3&token=20230326xflvzc
CCTV-2,rtsp://115.85.205.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2,rtsp://60.13.27.115/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2,rtsp://124.152.124.50/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-3,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3
CCTV-3,http://139.196.151.191/rtp/239.45.1.68:5140
CCTV-3,http://139.196.214.238/rtp/239.45.1.68:5140
CCTV-3,http://139.129.231.228/rtp/239.21.2.45:5002
CCTV-3,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://api2.52tb.xyz/info?id=4&token=20230326xflvzc
CCTV-3,rtsp://115.85.205.19/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-3,rtsp://124.152.124.50/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-4,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctveurope&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope
CCTV-4,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope&tai=cctv1&VideoName=cctv1&channelID=cctveurope
CCTV-4,http://139.196.151.191/rtp/239.45.0.2:5140
CCTV-4,http://139.196.214.238/rtp/239.45.0.2:5140
CCTV-4,http://139.129.231.228/rtp/239.21.1.154:5002
CCTV-4,http://61.138.128.226:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://api2.52tb.xyz/info?id=5&token=20230120rdbtgv
CCTV-4,rtsp://180.95.143.19/PLTV/88888910/224/3221225497/10000100000000060000000000107277_0.smil
CCTV-5,http://110.53.52.63:8888/newlive/live/hls/6/live.m3u8
CCTV-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5,http://139.196.151.191/rtp/239.45.1.69:5140
CCTV-5,http://139.196.214.238/rtp/239.45.1.69:5140
CCTV-5,http://139.129.231.228/rtp/239.21.2.46:5002
CCTV-5,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://api3.52tb.xyz/info?id=7&token=20230402fxrjwi
CCTV-5,http://api2.52tb.xyz/info?id=6&token=20230326xflvzc
CCTV-5,rtsp://180.95.143.19/PLTV/88888910/224/3221225609/10000100000000060000000000790217_0.smil
CCTV-5,rtsp://60.13.27.115/PLTV/88888910/224/3221225609/10000100000000060000000000790217_0.smil
CCTV-5+,http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8
CCTV-5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://139.129.231.228/rtp/239.21.1.142:5002
CCTV-5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://api2.52tb.xyz/info?id=7&token=20230326xflvzc
CCTV-5+,rtsp://115.153.233.154/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+,rtsp://115.153.230.145/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+,rtsp://180.95.143.19/PLTV/88888910/224/3221225570/10000100000000060000000000107350_0.smil
CCTV-5+,rtsp://115.153.254.81/PLTV/88888888/224/3221226976/85722488.smil
CCTV-6,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV-6,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV-6,http://139.196.151.191/rtp/239.45.1.70:5140
CCTV-6,http://139.196.214.238/rtp/239.45.1.70:5140
CCTV-6,http://139.129.231.228/rtp/239.21.2.47:5002
CCTV-6,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://api2.52tb.xyz/info?id=59&token=20230218zdxlqr
CCTV-6,rtsp://60.13.27.115/PLTV/88888910/224/3221225600/10000100000000060000000000295673_0.smil
CCTV-6,rtsp://115.153.245.70/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6,rtsp://115.153.233.154/PLTV/88888888/224/3221226909/65396493.smil
CCTV-7,http://110.53.52.63:8888/newlive/live/hls/9/live.m3u8
CCTV-7,https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8
CCTV-7,http://139.196.151.191/rtp/239.45.3.56:5140
CCTV-7,http://139.196.214.238/rtp/239.45.3.56:5140
CCTV-7,http://139.129.231.228/rtp/239.21.1.152:5002
